Amino Acid,MW,pI,hI,conc ,C1%,C2%,C3%,P,T,LogP,NumHDonors,NumHAcceptors,LogP,NumHDonors,NumHAcceptors
Proline,115.13,6.3,-1.6,28.99,100.0,0.0,0.0,7.23,277.0,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,100.0,0.0,0.0,8.7,278.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,100.0,0.0,0.0,2.84,264.9,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,100.0,0.0,0.0,4.24,268.1,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,100.0,0.0,0.0,5.66,270.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,100.0,0.0,0.0,7.07,272.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,100.0,0.0,0.0,8.47,274.0,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,93.0,5.0,2.0,1.24,274.85,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,93.0,5.0,2.0,1.95,279.35,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,93.0,5.0,2.0,2.65,282.05,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,93.0,5.0,2.0,3.36,283.95,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,93.0,5.0,2.0,4.07,285.45,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,93.0,5.0,2.0,1.23,273.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,93.0,5.0,2.0,1.93,277.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,93.0,5.0,2.0,2.63,280.45,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,93.0,5.0,2.0,3.34,282.45,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,93.0,5.0,2.0,4.06,283.75,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,93.0,5.0,2.0,1.24,270.75,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,93.0,5.0,2.0,1.9,274.5,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,93.0,5.0,2.0,2.6,277.1,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,93.0,5.0,2.0,3.29,279.2,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,28.99,93.0,5.0,2.0,4.0,280.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,93.0,5.0,2.0,1.21,267.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,93.0,5.0,2.0,1.89,271.25,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,93.0,5.0,2.0,2.57,274.0,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,93.0,5.0,2.0,3.26,275.7,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,38.75,93.0,5.0,2.0,3.93,276.75,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Glycine,75.07,6.06,-0.4,5.0,100.0,0.0,0.0,4.55,277.9,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.0,100.0,0.0,0.0,6.15,280.9,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.0,100.0,0.0,0.0,7.5,282.75,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,5.0,100.0,0.0,0.0,9.84,285.2,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,10.0,100.0,0.0,0.0,4.65,277.25,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,10.0,100.0,0.0,0.0,6.1,280.0,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,10.0,100.0,0.0,0.0,7.62,282.1,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,10.0,100.0,0.0,0.0,9.98,284.5,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,15.0,100.0,0.0,0.0,4.6,276.8,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,15.0,100.0,0.0,0.0,6.2,279.7,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,15.0,100.0,0.0,0.0,7.58,281.55,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,15.0,100.0,0.0,0.0,9.65,283.73,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,20.0,100.0,0.0,0.0,4.8,276.5,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,20.0,100.0,0.0,0.0,6.45,279.4,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,20.0,100.0,0.0,0.0,7.53,280.8,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Glycine,75.07,6.06,-0.4,20.0,100.0,0.0,0.0,9.77,283.1,-0.9702999999999999,2.0,2.0,-0.9702999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.0,100.0,0.0,0.0,4.61,277.55,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.0,100.0,0.0,0.0,6.1,280.15,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.0,100.0,0.0,0.0,7.52,282.2,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Alanine,89.09,6.11,1.8,10.0,100.0,0.0,0.0,9.55,284.3,-0.5817999999999999,2.0,2.0,-0.5817999999999999,2.0,2.0
Proline,115.13,6.3,-1.6,10.0,100.0,0.0,0.0,4.55,277.6,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,10.0,100.0,0.0,0.0,6.15,280.3,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,10.0,100.0,0.0,0.0,7.59,282.4,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,10.0,100.0,0.0,0.0,9.82,284.85,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Serine,105.09,5.7,-0.8,10.0,100.0,0.0,0.0,4.56,277.7,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,10.0,100.0,0.0,0.0,6.1,280.55,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,10.0,100.0,0.0,0.0,7.57,282.5,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,10.0,100.0,0.0,0.0,9.8,285.0,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Arginine,174.2,10.76,-4.5,10.0,100.0,0.0,0.0,4.7,278.55,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,10.0,100.0,0.0,0.0,6.1,281.05,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,10.0,100.0,0.0,0.0,7.56,282.9,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,10.0,100.0,0.0,0.0,9.65,285.4,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,4.6,278.15,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,6.3,281.25,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,8.2,283.7,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,5.0,100.0,0.0,0.0,10.01,285.62,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,4.9,278.05,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,6.19,280.3,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,8.03,283.0,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
Lysine,146.19,9.47,-3.9,10.0,100.0,0.0,0.0,10.4,285.2,-0.47269999999999873,3.0,3.0,-0.47269999999999873,3.0,3.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,3.6,276.2,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,5.1,279.4,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,6.6,282.1,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,1.0,100.0,0.0,0.0,8.1,284.1,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,4.6,278.6,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,6.3,281.5,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,8.2,284.0,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,1.0,100.0,0.0,0.0,10.1,286.0,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-asparagine,132.12,5.43,-3.5,1.0,100.0,0.0,0.0,4.3,277.9,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,1.0,100.0,0.0,0.0,6.1,281.5,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,1.0,100.0,0.0,0.0,7.6,283.3,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,1.0,100.0,0.0,0.0,10.3,286.1,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-phenylalanine,165.19,5.76,2.8,1.0,100.0,0.0,0.0,3.6,276.2,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,1.0,100.0,0.0,0.0,5.1,279.8,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,1.0,100.0,0.0,0.0,6.6,282.2,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,1.0,100.0,0.0,0.0,8.2,284.0,0.641,2.0,2.0,0.641,2.0,2.0
L-valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,3.5,275.7,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,5.2,279.4,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,6.6,281.7,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,8.0,283.5,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
L-threonine,119.12,5.6,-0.7,5.0,100.0,0.0,0.0,4.0,277.0,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,5.0,100.0,0.0,0.0,6.3,281.5,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,5.0,100.0,0.0,0.0,8.3,283.9,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-threonine,119.12,5.6,-0.7,5.0,100.0,0.0,0.0,10.2,285.7,-1.2208999999999997,3.0,3.0,-1.2208999999999997,3.0,3.0
L-asparagine,132.12,5.43,-3.5,5.0,100.0,0.0,0.0,3.5,275.8,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,5.0,100.0,0.0,0.0,5.1,279.3,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,5.0,100.0,0.0,0.0,6.6,281.9,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-asparagine,132.12,5.43,-3.5,5.0,100.0,0.0,0.0,8.1,283.7,-1.7263000000000002,3.0,3.0,-1.7263000000000002,3.0,3.0
L-phenylalanine,165.19,5.76,2.8,5.0,100.0,0.0,0.0,3.6,275.9,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,5.0,100.0,0.0,0.0,5.1,279.4,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,5.0,100.0,0.0,0.0,6.5,281.9,0.641,2.0,2.0,0.641,2.0,2.0
L-phenylalanine,165.19,5.76,2.8,5.0,100.0,0.0,0.0,8.0,283.9,0.641,2.0,2.0,0.641,2.0,2.0
Arginine,174.2,10.76,-4.5,5.0,100.0,0.0,0.0,4.55,278.8,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,5.0,100.0,0.0,0.0,6.15,281.3,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,5.0,100.0,0.0,0.0,7.5,283.3,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Arginine,174.2,10.76,-4.5,5.0,100.0,0.0,0.0,9.84,285.9,-1.338429999999999,5.0,3.0,-1.338429999999999,5.0,3.0
Valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,4.6,278.6,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
Valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,6.2,281.4,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
Valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,7.58,283.0,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
Valine,117.15,6.02,4.2,5.0,100.0,0.0,0.0,9.65,285.8,0.05430000000000007,2.0,2.0,0.05430000000000007,2.0,2.0
